graph_size,mode,agent_count,risk_alpha_label,risk_alpha,num_seeds,final_update,risk_ce_mean_positive_regret_mean,risk_ce_mean_positive_regret_std,risk_ce_mean_positive_regret_stderr,risk_ce_mean_positive_regret_ci95,risk_ce_ucb95_mean,risk_eval_realized_cost_mean,risk_eval_realized_cost_std,risk_eval_realized_cost_stderr,risk_eval_realized_cost_ci95,risk_eval_effective_cost_mean,risk_num_eval_decisions_mean,widths,num_nodes,num_edges,topology
large,deepcfr,50,0p20,0.2,3,5000,0.00654535101443612,0.001317013688220758,0.0007603782074206766,0.001490341286544526,0.00801959172682628,329.5294906385561,6.677308203645799,3.855145688836999,7.5560855501205175,334.25746148611114,161.0,"5,5,5",17,38,main_path
large,deepcfr,50,0p60,0.6,3,5000,0.006831981334047291,0.001240952365831099,0.000716464182464088,0.0014042697976296124,0.008384887340031835,307.6516449713793,15.896668156031046,9.177945639102676,17.988773452641244,318.0116939,149.0,"5,5,5",17,38,main_path
large,deepcfr,50,1p00,1.0,3,5000,0.006843341159523699,0.0009601321308375239,0.0005543325441966535,0.0010864917866254408,0.008512866958615757,303.97155612426945,10.009139594181672,5.77877943905733,11.326407700552368,318.51548386111114,149.0,"5,5,5",17,38,main_path
large,deepcfr_rl_distill,50,0p00,0.0,3,5000,0.005561470733183975,0.0011141169907810907,0.0006432357445361986,0.0012607420592909491,0.0068819058933406565,294.4912723767473,8.215693433724487,4.743332815540274,9.296932318458937,297.4202777777778,162.0,"5,5,5",17,38,main_path
large,deepcfr_rl_distill,50,0p20,0.2,3,5000,0.005136059556333217,0.0005482469898516071,0.0003165305471732274,0.0006203998724595256,0.006365645389774564,294.6622758381878,13.214315747040457,7.629288753710519,14.953405957272617,300.8838392527779,162.0,"5,5,5",17,38,main_path
large,deepcfr_rl_distill,50,0p60,0.6,3,5000,0.006425324058648654,0.001759002879656299,0.0010155607860748911,0.0019904991407067867,0.007928849279447472,279.47633551299486,10.36544539565189,5.9844926894499855,11.729605671321972,286.5159730416667,152.0,"5,5,5",17,38,main_path
large,deepcfr_rl_distill,50,1p00,1.0,3,5000,0.006182936941531992,0.0012355727993683529,0.000713358288318698,0.0013981822451046482,0.007689026591498924,277.0840616173419,13.07132285240197,7.546731767498785,14.791594264297618,289.03440577777775,150.66666666666666,"5,5,5",17,38,main_path
large,deepcfr_rl_no_distill,50,0p00,0.0,3,5000,0.005254730038580439,0.0008946240827224532,0.0005165114549833304,0.0010123624517673275,0.006509772573666005,317.12325191813903,17.049000106650723,9.843244800988755,19.29275980993796,317.2729444444444,167.66666666666666,"5,5,5",17,38,main_path
large,deepcfr_rl_no_distill,50,0p20,0.2,3,5000,0.005967220744674971,0.00028275712611054867,0.00016324990287521025,0.00031996980963541207,0.007246021854426425,318.58838163448735,4.462118414389368,2.576205267703688,5.049362324699229,322.1441084055556,167.0,"5,5,5",17,38,main_path
large,deepcfr_rl_no_distill,50,0p60,0.6,3,5000,0.0056693231274327,0.0004726110208811444,0.0002728621001277126,0.0005348097162503167,0.006939579830435519,288.90088289787417,6.439060136351292,3.7175931030506066,7.2864824819791885,295.16071025833327,154.33333333333334,"5,5,5",17,38,main_path
large,deepcfr_rl_no_distill,50,1p00,1.0,3,5000,0.005996064146234635,0.0002183190590661789,0.0001260465675210842,0.00024705127234132503,0.00731876867548185,285.8902861434885,20.953684944623806,12.097615643293164,23.7113266608546,298.88040940277773,153.33333333333334,"5,5,5",17,38,main_path
large,ppo,50,0p00,0.0,3,5000,0.005726065067945063,0.0007141386074165392,0.0004123081172306434,0.0008081239097720611,0.0070205390147873485,305.2721333537761,26.196692165275238,15.12466727349942,29.64434785605886,307.4888888888888,165.0,"5,5,5",17,38,main_path
large,ppo,50,0p20,0.2,3,5000,0.005850936745467395,0.0009180022198271913,0.0005300088287339029,0.0010388173043184496,0.007216010926767468,300.2201282171591,22.78801083700107,13.156664191038677,25.78706181443581,304.7940303777778,165.0,"5,5,5",17,38,main_path
large,ppo,50,0p60,0.6,3,5000,0.0057753084423504365,0.0009393396934930873,0.0005423280248987346,0.0010629629288015198,0.00716070618410312,272.9740506220024,10.10604336190714,5.8347268554391185,11.436064636660673,282.6464437972222,149.33333333333334,"5,5,5",17,38,main_path
large,ppo,50,1p00,1.0,3,5000,0.006109962166599934,0.0012157566463666016,0.0007019174270488342,0.001375758157015715,0.007572851081169698,273.19685107063304,6.877613419698653,3.9707919592452,7.782752240120591,286.8302585972222,149.33333333333334,"5,5,5",17,38,main_path
medium,deepcfr,5,0p00,0.0,3,5000,0.003665068026887862,0.00114670811287416,0.0006620522376498241,0.001297622385793655,0.006449603054099302,17.215656709001593,0.8225773771406175,0.47491527012143187,0.9308339294380065,17.701222222222224,24.0,"4,4,4",14,29,main_path
medium,deepcfr,5,0p20,0.2,3,5000,0.0025957295270066447,0.0004698266735406859,0.00027125455644118145,0.0005316589306247156,0.00517187342594486,8.61050224501021,0.2938561067877857,0.16965790235694347,0.3325294886196092,9.058215663888888,12.333333333333334,"4,4,4",14,29,main_path
medium,deepcfr,5,0p60,0.6,3,5000,0.004636320720913508,0.0031103178877665417,0.0017957428697673212,0.0035196560247439494,0.0088030941441914,8.362135537226642,0.7380541968219726,0.42611578921169896,0.8351869468549299,9.003524502777777,12.0,"4,4,4",14,29,main_path
medium,deepcfr,5,1p00,1.0,3,5000,0.00402967426922731,0.0019263598791247091,0.001112184394768746,0.002179881413746742,0.008588851635415139,8.113524533218138,0.38210416876998043,0.2206079446978264,0.4323915716077398,8.64062876388889,12.0,"4,4,4",14,29,main_path
medium,deepcfr_rl_distill,5,0p00,0.0,3,5000,0.006385519640240846,0.0027328834122175754,0.0015778309737076801,0.003092548708467053,0.009987356528661546,18.88193292531996,1.6645527400531404,0.9610299725500098,1.8836187461980192,18.72288888888889,25.666666666666668,"4,4,4",14,29,main_path
